state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task155,0,0.999,high,7,7,coupled,0.002941131591796875,0.0008477705996483564,16,27,10,0.7857142857142859,0.6190476190476191,False,True,True,8.012448485674156,1,0.42857142857142866,0.33333333333333337,False,False,True,3.228882783268091,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task155,0,0.999,high,7,7,coupled,0.002941131591796875,0.0008477705996483564,16,27,20,0.7857142857142859,0.6190476190476191,False,True,True,8.012448485674213,1,0.42857142857142866,0.33333333333333337,False,False,True,3.228882783268091,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task155,0,0.999,high,7,7,coupled,0.002941131591796875,0.0008477705996483564,16,27,50,0.7857142857142859,0.6190476190476191,False,True,True,8.012448485674213,1,0.42857142857142866,0.33333333333333337,False,False,True,3.228882783268091,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task157,0,0.999,high,14,14,easy,0.0007476806640625,0.00021858676336705685,11,27,5,0.23038172470850782,0.18633899812498247,True,True,True,0.0,6,0.6696736984821533,0.568291142773511,True,True,True,0.0,0.4285714285714286,0.8461538461538461,0.9720279720279721,1.0
trial_000_ep1_task157,0,0.999,high,14,14,easy,0.0007476806640625,0.00021858676336705685,11,27,10,0.23038172470850782,0.18633899812498247,True,True,True,0.0,6,0.6696736984821533,0.568291142773511,True,True,True,0.0,0.4285714285714286,0.8461538461538461,0.9720279720279721,1.0
trial_000_ep1_task157,0,0.999,high,14,14,easy,0.0007476806640625,0.00021858676336705685,11,27,20,0.23038172470850782,0.18633899812498247,True,True,True,0.0,6,0.6696736984821533,0.568291142773511,True,True,True,0.0,0.4285714285714286,0.8461538461538461,0.9720279720279721,1.0
trial_000_ep1_task157,0,0.999,high,14,14,easy,0.0007476806640625,0.00021858676336705685,11,27,50,0.23038172470850782,0.18633899812498247,True,True,True,0.0,6,0.6696736984821533,0.568291142773511,True,True,True,0.0,0.4285714285714286,0.8461538461538461,0.9720279720279721,1.0
trial_000_ep1_task159,0,0.9999,medium,1,1,easy,0.0,0.0,25,25,5,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task159,0,0.9999,medium,1,1,easy,0.0,0.0,25,25,10,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task159,0,0.9999,medium,1,1,easy,0.0,0.0,25,25,20,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task159,0,0.9999,medium,1,1,easy,0.0,0.0,25,25,50,,,True,True,True,0.0,1,,,True,True,True,0.0,1.0,1.0,1.0,
trial_000_ep1_task162,0,0.99,medium,28,28,easy,0.0140533447265625,0.004022796172648668,5,27,5,0.4372714198251771,0.3382269205743039,True,True,True,0.0,7,0.7419688295632304,0.596196605758095,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task162,0,0.99,medium,28,28,easy,0.0140533447265625,0.004022796172648668,5,27,10,0.4372714198251771,0.3382269205743039,True,True,True,0.0,7,0.7419688295632304,0.596196605758095,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task162,0,0.99,medium,28,28,easy,0.0140533447265625,0.004022796172648668,5,27,20,0.4372714198251771,0.3382269205743039,True,True,True,0.0,7,0.7419688295632304,0.596196605758095,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
trial_000_ep1_task162,0,0.99,medium,28,28,easy,0.0140533447265625,0.004022796172648668,5,27,50,0.4372714198251771,0.3382269205743039,True,True,True,0.0,7,0.7419688295632304,0.596196605758095,True,True,True,0.0,0.25,0.594017094017094,0.7929487179487179,0.9999999999999998
